as_on,state_name,state_code,district_name,district_code,block_name,block_code,sc_population,st_population,gen_population
01-04-2021,Andhra Pradesh,28,Krishna,510,Challapalli,5104,13264,1444,41146
01-04-2021,Andhra Pradesh,28,Krishna,510,Chandarlapadu,5105,18297,2228,45469
01-04-2021,Andhra Pradesh,28,Krishna,510,Chatrai,5106,18283,2314,35311
01-04-2021,Andhra Pradesh,28,Krishna,510,G.Konduru,5107,19923,4137,39707
01-04-2021,Andhra Pradesh,28,Krishna,510,Gampalagudem,5108,24351,1266,51073
01-04-2021,Andhra Pradesh,28,Krishna,510,Gannavaram,5109,19389,2100,69470
01-04-2021,Andhra Pradesh,28,Krishna,510,Ghantasala,5110,15411,1074,24425
01-04-2021,Andhra Pradesh,28,Krishna,510,Gudivada,5111,15193,451,26130
01-04-2021,Andhra Pradesh,28,Krishna,510,Gudlavalleru,5112,15212,1235,36328
01-04-2021,Andhra Pradesh,28,Krishna,510,Guduru,5113,9094,594,43089
01-04-2021,Andhra Pradesh,28,Krishna,510,Ibrahimpatnam,5114,11135,2223,23366
01-04-2021,Andhra Pradesh,28,Krishna,510,Jaggaiahpeta,5115,15907,8772,51272
01-04-2021,Andhra Pradesh,28,Krishna,510,Kaikaluru,5116,9277,487,75704
01-04-2021,Andhra Pradesh,28,Krishna,510,Kalidindi,5117,6175,529,71657
01-04-2021,Andhra Pradesh,28,Krishna,510,Kanchikacherla,5118,18814,2035,56698
01-04-2021,Andhra Pradesh,28,Krishna,510,Kankipadu,5119,21978,2946,52063
01-04-2021,Andhra Pradesh,28,Krishna,510,Koduru,5120,5932,691,38387
01-04-2021,Andhra Pradesh,28,Krishna,510,Kruthivennu,5121,4222,1520,49779
01-04-2021,Andhra Pradesh,28,Krishna,510,Machilipatnam,5122,8703,1296,62971
01-04-2021,Andhra Pradesh,28,Krishna,510,Mandavalli,5123,12112,369,36851
01-04-2021,Andhra Pradesh,28,Krishna,510,Mopidevi,5124,9896,898,24685
01-04-2021,Andhra Pradesh,28,Krishna,510,Movva,5125,16971,1622,39450
01-04-2021,Andhra Pradesh,28,Krishna,510,Mudinepalli,5126,14301,1446,47691
01-04-2021,Andhra Pradesh,28,Krishna,510,Musunuru,5127,19162,615,43107
01-04-2021,Andhra Pradesh,28,Krishna,510,Mylavaram,5128,15128,4996,54672
01-04-2021,Andhra Pradesh,28,Krishna,510,Nagayalanka,5129,6760,1300,42390
01-04-2021,Andhra Pradesh,28,Krishna,510,Nandigama,5130,17420,2254,33174
01-04-2021,Andhra Pradesh,28,Krishna,510,Nandivada,5131,14236,863,19022
01-04-2021,Andhra Pradesh,28,Krishna,510,Nuzvidu,5132,19479,3895,51914
01-04-2021,Andhra Pradesh,28,Krishna,510,Pamarru,5133,20244,2121,40516
01-04-2021,Andhra Pradesh,28,Krishna,510,Pamidimukkala,5134,15077,1113,43283
01-04-2021,Andhra Pradesh,28,Krishna,510,Pedana,5135,5999,351,27268
01-04-2021,Andhra Pradesh,28,Krishna,510,Pedaparupudi,5136,11943,849,21835
01-04-2021,Andhra Pradesh,28,Krishna,510,Penamaluru,5137,21281,5222,141985
01-04-2021,Andhra Pradesh,28,Krishna,510,Penuganchiprolu,5138,17603,2252,36805
01-04-2021,Andhra Pradesh,28,Krishna,510,Reddigudem,5139,12710,2588,35462
